user_id,age,race_ethnicity,income_bracket,education_level,geography,insurance_type,owns_wearable,uses_wearable_for_health,shares_data_with_provider
U00033,32,white,low,less_than_hs,rural,uninsured,True,True,False
U00034,54,white,middle,bachelors,rural,medicaid,True,False,False
U00035,61,white,lower_middle,high_school,urban,medicaid,False,False,False
U00036,43,white,lower_middle,less_than_hs,suburban,private,False,False,False
U00037,32,black,upper_middle,bachelors,urban,private,True,True,True
U00038,32,white,lower_middle,less_than_hs,suburban,military_va,False,False,False
U00039,54,black,middle,high_school,urban,medicare,False,False,False
U00040,56,white,high,graduate,suburban,private,False,False,False
U00041,53,white,middle,some_college,rural,medicare,False,False,False
U00042,35,white,middle,high_school,urban,uninsured,True,False,False
U00043,48,hispanic_latino,low,high_school,suburban,medicare,True,False,False
U00044,46,white,lower_middle,some_college,urban,medicaid,False,False,False
U00045,48,white,low,less_than_hs,suburban,medicaid,False,False,False
U00046,58,hispanic_latino,upper_middle,high_school,urban,private,True,False,False
U00047,48,white,upper_middle,bachelors,urban,private,True,False,False
U00048,55,white,lower_middle,some_college,rural,medicaid,False,False,False
U00049,46,asian,lower_middle,graduate,urban,uninsured,False,False,False
U00050,49,white,middle,some_college,rural,medicare,True,False,False
U00051,54,white,middle,high_school,urban,private,True,False,False
U00052,23,white,middle,some_college,suburban,military_va,True,False,False
U00053,40,white,upper_middle,bachelors,suburban,private,False,False,False
U00054,37,white,high,some_college,rural,private,True,False,False
U00055,35,hispanic_latino,lower_middle,some_college,urban,military_va,True,False,False
U00056,40,white,upper_middle,some_college,urban,medicare,True,False,False
U00057,67,hispanic_latino,middle,bachelors,suburban,military_va,False,False,False
U00058,32,asian,lower_middle,bachelors,suburban,uninsured,False,False,False
U00059,59,black,high,bachelors,suburban,private,True,True,False
U00060,19,hispanic_latino,low,bachelors,urban,medicaid,False,False,False
U00061,39,hispanic_latino,upper_middle,graduate,urban,private,False,False,False
U00062,47,other,upper_middle,some_college,rural,military_va,True,True,True
U00063,53,white,high,bachelors,suburban,medicare,True,True,False
U00064,55,white,middle,bachelors,suburban,private,True,True,False
U00065,56,white,lower_middle,less_than_hs,urban,medicare,False,False,False
U00066,39,white,upper_middle,bachelors,urban,private,True,True,False
U00067,38,white,upper_middle,some_college,rural,private,False,False,False
U00068,57,black,middle,graduate,suburban,uninsured,True,True,True
U00069,42,white,upper_middle,bachelors,urban,private,True,True,True
U00070,25,asian,lower_middle,bachelors,rural,medicare,True,True,False
U00071,28,white,middle,some_college,suburban,military_va,True,True,False
U00072,31,white,upper_middle,some_college,suburban,private,True,True,False
U00073,52,white,lower_middle,bachelors,suburban,medicare,True,False,False
U00074,47,white,middle,less_than_hs,suburban,private,True,True,False
U00075,55,white,high,high_school,suburban,private,True,True,False
U00076,38,white,upper_middle,bachelors,suburban,private,True,True,False
U00077,47,white,high,graduate,suburban,private,True,True,False
U00078,54,white,middle,some_college,urban,private,False,False,False
U00079,40,white,high,some_college,rural,private,False,False,False
U00080,51,white,lower_middle,high_school,suburban,private,False,False,False
U00081,35,white,middle,high_school,suburban,private,True,True,False
U00082,39,white,middle,less_than_hs,suburban,military_va,False,False,False
U00083,39,white,upper_middle,bachelors,suburban,private,True,True,False
U00084,27,white,high,some_college,suburban,private,False,False,False
U00085,52,white,upper_middle,some_college,suburban,medicaid,True,False,False
U00086,37,hispanic_latino,upper_middle,bachelors,rural,private,True,False,False
U00087,45,other,middle,bachelors,suburban,private,True,False,False
U00088,52,asian,middle,some_college,suburban,uninsured,False,False,False
U00089,51,white,middle,some_college,urban,medicare,False,False,False
U00090,54,white,low,less_than_hs,suburban,medicare,False,False,False
U00091,43,white,middle,graduate,suburban,medicaid,True,True,False
U00092,38,hispanic_latino,high,bachelors,urban,private,True,True,False
U00093,43,hispanic_latino,upper_middle,some_college,suburban,private,False,False,False
U00094,19,hispanic_latino,upper_middle,bachelors,suburban,private,False,False,False
U00095,23,hispanic_latino,middle,high_school,urban,private,True,False,False
U00096,25,white,middle,high_school,urban,uninsured,False,False,False
U00097,30,hispanic_latino,low,less_than_hs,urban,medicaid,False,False,False
U00098,50,hispanic_latino,middle,bachelors,suburban,private,True,True,True
U00099,31,white,middle,bachelors,suburban,private,True,False,False
U00100,39,asian,lower_middle,some_college,suburban,uninsured,True,False,False
U00101,64,white,low,some_college,urban,private,False,False,False
U00102,39,other,upper_middle,some_college,urban,private,False,False,False
U00103,56,hispanic_latino,middle,graduate,suburban,private,True,True,True
U00104,30,white,middle,bachelors,urban,medicare,True,True,False
U00105,41,black,lower_middle,bachelors,suburban,medicaid,True,False,False
U00106,30,white,middle,bachelors,suburban,uninsured,False,False,False
U00107,39,hispanic_latino,middle,some_college,suburban,private,False,False,False
U00108,57,hispanic_latino,middle,some_college,rural,private,False,False,False
U00109,19,black,middle,some_college,suburban,private,False,False,False
U00110,51,hispanic_latino,low,less_than_hs,rural,medicaid,True,False,False
U00111,48,white,high,bachelors,rural,private,False,False,False
U00112,36,white,low,less_than_hs,urban,uninsured,False,False,False
U00113,23,white,middle,less_than_hs,urban,private,True,False,False
U00114,46,white,lower_middle,bachelors,suburban,medicaid,False,False,False
U00115,37,white,middle,bachelors,suburban,private,True,True,False
U00116,48,white,lower_middle,some_college,suburban,medicaid,False,False,False
U00117,45,white,high,bachelors,urban,private,True,False,False
U00118,69,white,middle,bachelors,urban,private,False,False,False
U00119,41,hispanic_latino,upper_middle,graduate,suburban,private,True,True,True
U00120,29,white,lower_middle,some_college,suburban,military_va,True,True,True
U00121,47,hispanic_latino,low,some_college,suburban,uninsured,False,False,False
U00122,48,white,middle,some_college,rural,uninsured,False,False,False
U00123,65,white,middle,some_college,urban,uninsured,True,False,False
U00124,57,white,middle,bachelors,suburban,private,False,False,False
U00125,50,white,high,graduate,rural,private,True,False,False
U00126,66,white,upper_middle,bachelors,suburban,private,False,False,False
U00127,27,white,high,bachelors,suburban,medicare,True,True,False
U00128,35,white,lower_middle,some_college,suburban,private,False,False,False
U00129,31,white,upper_middle,bachelors,urban,private,False,False,False
U00130,39,white,middle,graduate,rural,medicare,True,True,False
U00131,24,white,middle,bachelors,suburban,private,True,True,False
U00132,54,hispanic_latino,high,bachelors,suburban,private,False,False,False
U00133,41,white,upper_middle,bachelors,suburban,private,True,True,True
U00134,22,multiracial,high,bachelors,suburban,private,True,True,False
U00135,29,hispanic_latino,upper_middle,high_school,urban,medicaid,True,False,False
U00136,49,multiracial,low,high_school,suburban,medicaid,False,False,False
U00137,57,hispanic_latino,upper_middle,graduate,suburban,private,False,False,False
U00138,74,white,middle,bachelors,urban,private,False,False,False
U00139,85,white,high,bachelors,suburban,private,False,False,False
U00140,51,white,upper_middle,bachelors,rural,private,True,True,True
U00141,30,hispanic_latino,low,some_college,suburban,medicaid,True,False,False
U00142,18,black,low,high_school,suburban,medicaid,True,True,False
U00143,49,white,low,some_college,suburban,medicare,True,True,True
U00144,32,asian,middle,bachelors,suburban,private,True,True,False
U00145,38,white,low,some_college,suburban,uninsured,False,False,False
U00146,35,white,upper_middle,some_college,rural,private,True,True,False
U00147,42,hispanic_latino,middle,high_school,urban,private,True,False,False
U00148,60,white,upper_middle,bachelors,rural,private,True,True,False
U00149,47,black,lower_middle,less_than_hs,rural,private,True,False,False
U00150,42,hispanic_latino,middle,some_college,suburban,military_va,True,True,False
U00151,29,white,low,some_college,suburban,private,True,False,False
U00152,19,white,high,some_college,urban,private,True,False,False
U00153,37,white,lower_middle,some_college,suburban,medicaid,False,False,False
U00154,44,black,low,graduate,urban,uninsured,False,False,False
U00155,71,white,lower_middle,some_college,urban,medicaid,False,False,False
U00156,46,asian,upper_middle,bachelors,rural,medicare,False,False,False
U00157,59,hispanic_latino,low,high_school,urban,medicaid,False,False,False
U00158,37,white,upper_middle,some_college,suburban,private,False,False,False
U00159,27,white,upper_middle,some_college,urban,private,True,True,False
U00160,30,black,upper_middle,bachelors,suburban,private,False,False,False
U00161,34,hispanic_latino,lower_middle,high_school,suburban,medicaid,False,False,False
U00162,76,white,low,high_school,suburban,medicare,False,False,False
U00163,32,white,middle,less_than_hs,suburban,private,True,False,False
U00164,57,white,lower_middle,bachelors,rural,medicare,True,False,False
U00165,31,other,upper_middle,high_school,suburban,private,False,False,False
U00166,58,white,middle,bachelors,rural,private,True,False,False
U00167,50,hispanic_latino,middle,some_college,suburban,private,False,False,False
U00168,42,white,low,high_school,suburban,medicaid,False,False,False
U00169,44,asian,middle,high_school,urban,medicaid,True,False,False
U00170,35,white,lower_middle,high_school,urban,medicaid,True,False,False
U00171,51,white,upper_middle,bachelors,rural,private,True,True,False
U00172,38,asian,low,some_college,suburban,private,False,False,False
U00173,26,asian,high,bachelors,suburban,private,False,False,False
U00174,25,white,upper_middle,bachelors,suburban,private,True,False,False
U00175,47,white,lower_middle,some_college,suburban,uninsured,False,False,False
U00176,68,white,low,less_than_hs,suburban,uninsured,False,False,False
U00177,47,white,middle,some_college,suburban,medicare,False,False,False
U00178,43,white,lower_middle,high_school,rural,medicaid,False,False,False
U00179,49,hispanic_latino,lower_middle,some_college,urban,medicaid,True,False,False
U00180,64,white,upper_middle,high_school,urban,medicare,True,True,True
U00181,48,black,upper_middle,bachelors,suburban,medicare,True,False,False
U00182,38,white,lower_middle,high_school,urban,private,False,False,False
U00183,61,white,middle,some_college,rural,private,False,False,False
U00184,51,black,lower_middle,some_college,suburban,medicare,False,False,False
U00185,68,white,high,graduate,urban,private,True,True,True
U00186,47,black,low,high_school,urban,uninsured,False,False,False
U00187,26,white,upper_middle,graduate,rural,private,True,True,False
U00188,24,asian,upper_middle,some_college,suburban,private,True,False,False
U00189,69,hispanic_latino,low,high_school,rural,uninsured,False,False,False
U00190,70,hispanic_latino,low,less_than_hs,urban,medicare,False,False,False
U00191,42,white,middle,some_college,rural,uninsured,False,False,False
U00192,39,white,high,graduate,suburban,private,True,False,False
U00193,66,white,middle,bachelors,suburban,private,False,False,False
U00194,28,white,middle,some_college,suburban,private,False,False,False
U00195,31,white,upper_middle,bachelors,urban,private,True,False,False
U00196,54,white,upper_middle,some_college,rural,private,True,False,False
U00197,39,white,middle,less_than_hs,rural,private,False,False,False
U00198,44,white,middle,bachelors,suburban,private,False,False,False
U00199,42,white,upper_middle,some_college,rural,private,False,False,False
U00200,50,white,lower_middle,less_than_hs,urban,uninsured,False,False,False
U00201,66,white,upper_middle,graduate,urban,private,True,True,True
U00202,46,black,low,bachelors,urban,medicaid,False,False,False
U00203,54,white,lower_middle,some_college,suburban,private,False,False,False
U00204,18,white,upper_middle,bachelors,urban,military_va,True,False,False
U00205,44,white,middle,bachelors,suburban,medicaid,True,False,False
U00206,32,hispanic_latino,low,less_than_hs,urban,military_va,True,False,False
U00207,26,white,lower_middle,some_college,suburban,uninsured,False,False,False
U00208,31,black,middle,some_college,rural,private,True,True,False
U00209,39,multiracial,upper_middle,graduate,suburban,private,True,True,True
U00210,58,white,low,bachelors,urban,medicaid,False,False,False
U00211,25,asian,low,some_college,suburban,uninsured,False,False,False
U00212,45,hispanic_latino,middle,high_school,urban,private,True,False,False
U00213,37,white,high,bachelors,suburban,private,True,True,False
U00214,40,white,lower_middle,high_school,suburban,uninsured,False,False,False
U00215,60,black,high,graduate,suburban,medicare,True,True,True
U00216,53,multiracial,high,some_college,urban,military_va,True,False,False
U00217,65,white,lower_middle,less_than_hs,suburban,private,False,False,False
U00218,42,white,upper_middle,bachelors,rural,private,True,False,False
U00219,34,white,upper_middle,bachelors,suburban,private,False,False,False
U00220,41,white,middle,bachelors,rural,private,True,False,False
U00221,48,hispanic_latino,middle,high_school,rural,private,False,False,False
U00222,47,white,upper_middle,graduate,urban,private,True,False,False
U00223,28,hispanic_latino,upper_middle,high_school,suburban,medicare,True,False,False
U00224,46,hispanic_latino,upper_middle,high_school,suburban,private,True,False,False
U00225,48,black,high,bachelors,suburban,private,False,False,False
U00226,82,black,middle,high_school,urban,uninsured,True,False,False
U00227,73,hispanic_latino,upper_middle,bachelors,rural,private,True,False,False
U00228,32,hispanic_latino,upper_middle,high_school,suburban,private,True,False,False
U00229,40,hispanic_latino,lower_middle,less_than_hs,urban,private,False,False,False
U00230,23,white,low,some_college,suburban,private,False,False,False
U00231,36,white,middle,high_school,suburban,medicaid,False,False,False
U00232,49,white,high,graduate,suburban,private,True,True,False
U00233,63,hispanic_latino,lower_middle,bachelors,rural,private,False,False,False
U00234,34,black,upper_middle,high_school,suburban,military_va,False,False,False
U00235,35,white,low,some_college,suburban,medicaid,True,True,True
U00236,18,white,lower_middle,high_school,suburban,uninsured,False,False,False
U00237,42,white,upper_middle,bachelors,suburban,private,False,False,False
U00238,29,black,low,less_than_hs,suburban,military_va,False,False,False
U00239,37,white,high,graduate,urban,private,True,True,False
U00240,31,white,low,high_school,urban,medicare,True,False,False
U00241,43,hispanic_latino,high,bachelors,suburban,medicare,True,True,True
U00242,18,hispanic_latino,lower_middle,graduate,rural,uninsured,False,False,False
U00243,22,white,high,bachelors,suburban,private,False,False,False
U00244,76,white,middle,graduate,urban,private,True,False,False
U00245,25,multiracial,low,some_college,suburban,medicaid,False,False,False
U00246,28,black,low,bachelors,rural,uninsured,False,False,False
U00247,72,black,low,bachelors,suburban,uninsured,False,False,False
U00248,85,white,middle,graduate,urban,private,False,False,False
U00249,27,white,upper_middle,some_college,suburban,private,True,False,False
U00250,39,white,middle,bachelors,suburban,medicare,False,False,False
U00251,50,hispanic_latino,middle,bachelors,suburban,medicaid,False,False,False
U00252,70,white,middle,bachelors,urban,private,True,True,False
U00253,30,white,middle,some_college,urban,medicare,True,False,False
U00254,41,hispanic_latino,upper_middle,graduate,suburban,military_va,True,True,True
U00255,56,asian,middle,high_school,suburban,private,True,True,False
U00256,51,hispanic_latino,upper_middle,bachelors,suburban,private,True,True,False
U00257,39,white,high,bachelors,urban,private,True,False,False
U00258,42,white,middle,high_school,suburban,private,True,False,False
U00259,24,white,low,some_college,suburban,uninsured,False,False,False
U00260,41,white,low,less_than_hs,urban,medicaid,False,False,False
U00261,41,white,middle,bachelors,suburban,private,True,True,False
U00262,48,white,middle,bachelors,suburban,private,False,False,False
U00263,36,black,high,bachelors,suburban,private,True,True,False
U00264,52,hispanic_latino,upper_middle,bachelors,rural,private,True,True,False
U00265,60,other,middle,high_school,rural,private,False,False,False
U00266,47,white,upper_middle,graduate,suburban,private,True,False,False
U00267,50,white,lower_middle,graduate,urban,medicaid,True,True,False
U00268,45,white,upper_middle,some_college,urban,military_va,True,True,True
U00269,45,white,low,some_college,urban,uninsured,False,False,False
U00270,34,white,middle,some_college,suburban,uninsured,True,False,False
U00271,49,white,high,bachelors,rural,private,False,False,False
U00272,43,hispanic_latino,upper_middle,bachelors,rural,private,False,False,False
U00273,76,white,upper_middle,bachelors,urban,military_va,True,True,False
U00274,68,asian,middle,bachelors,suburban,private,False,False,False
U00275,50,white,upper_middle,some_college,urban,medicare,True,True,True
U00276,33,white,middle,some_college,suburban,private,True,True,False
U00277,28,white,middle,bachelors,urban,private,True,False,False
U00278,62,white,low,less_than_hs,rural,medicaid,False,False,False
U00279,48,white,lower_middle,some_college,rural,private,False,False,False
U00280,52,multiracial,middle,high_school,urban,private,True,False,False
U00281,18,white,low,some_college,suburban,medicare,False,False,False
U00282,58,white,upper_middle,bachelors,suburban,private,True,True,True
U00283,51,white,upper_middle,bachelors,suburban,private,True,False,False
U00284,28,white,high,bachelors,suburban,medicare,True,False,False
U00285,37,black,low,high_school,urban,medicaid,False,False,False
U00286,48,white,high,graduate,suburban,medicare,True,False,False
U00287,45,hispanic_latino,low,high_school,urban,medicaid,False,False,False
U00288,40,white,middle,some_college,suburban,private,True,False,False
U00289,43,white,upper_middle,graduate,urban,private,True,False,False
U00290,41,black,low,high_school,suburban,uninsured,False,False,False
U00291,47,hispanic_latino,low,high_school,suburban,medicaid,True,True,False
U00292,67,white,low,high_school,urban,uninsured,False,False,False
U00293,18,white,middle,high_school,suburban,private,False,False,False
U00294,41,white,upper_middle,bachelors,suburban,private,True,True,False
U00295,47,white,low,bachelors,urban,uninsured,False,False,False
U00296,49,white,low,bachelors,suburban,military_va,False,False,False
U00297,39,hispanic_latino,middle,graduate,suburban,private,True,False,False
U00298,18,white,lower_middle,some_college,suburban,military_va,False,False,False
U00299,49,hispanic_latino,upper_middle,some_college,rural,private,False,False,False
U00300,70,white,high,graduate,suburban,medicare,True,True,False
U00301,21,hispanic_latino,upper_middle,graduate,suburban,private,True,False,False
U00302,57,hispanic_latino,high,graduate,urban,private,True,False,False
U00303,40,white,middle,some_college,urban,private,False,False,False
U00304,44,white,upper_middle,bachelors,urban,medicare,True,False,False
U00305,29,white,lower_middle,bachelors,rural,private,False,False,False
U00306,39,hispanic_latino,low,bachelors,rural,medicaid,False,False,False
U00307,64,white,middle,bachelors,suburban,medicare,False,False,False
U00308,53,white,low,high_school,urban,uninsured,False,False,False
U00309,70,white,high,bachelors,suburban,private,True,False,False
U00310,62,hispanic_latino,upper_middle,bachelors,suburban,private,True,False,False
U00311,51,white,high,bachelors,suburban,private,False,False,False
U00312,71,white,lower_middle,graduate,urban,medicaid,True,True,True
U00313,51,multiracial,middle,some_college,rural,medicare,False,False,False
U00314,57,white,upper_middle,bachelors,urban,private,False,False,False
U00315,40,hispanic_latino,lower_middle,high_school,urban,uninsured,True,False,False
U00316,45,white,middle,bachelors,rural,private,False,False,False
U00317,34,white,upper_middle,bachelors,suburban,private,True,False,False
U00318,59,hispanic_latino,high,some_college,suburban,private,True,True,False
U00319,27,black,upper_middle,graduate,suburban,private,False,False,False
U00320,56,black,low,high_school,rural,medicare,False,False,False
U00321,42,white,middle,some_college,urban,medicaid,False,False,False
U00322,62,white,middle,high_school,suburban,private,True,True,False
U00323,56,white,low,high_school,suburban,medicaid,False,False,False
U00324,72,white,middle,bachelors,urban,military_va,True,False,False
U00325,55,white,lower_middle,bachelors,suburban,private,False,False,False
U00326,21,white,low,less_than_hs,suburban,private,True,False,False
U00327,43,white,middle,graduate,urban,private,True,True,True
U00328,27,white,low,some_college,suburban,medicare,True,True,True
U00329,37,white,middle,some_college,suburban,medicaid,True,True,False
U00330,67,white,low,less_than_hs,suburban,uninsured,True,True,False
U00331,54,hispanic_latino,upper_middle,some_college,suburban,private,True,False,False
U00332,34,black,lower_middle,bachelors,rural,private,False,False,False
U00333,29,white,high,bachelors,suburban,private,True,False,False
U00334,45,black,low,high_school,suburban,private,False,False,False
U00335,26,hispanic_latino,middle,bachelors,suburban,medicare,False,False,False
U00336,34,white,lower_middle,bachelors,suburban,medicaid,False,False,False
U00337,49,white,lower_middle,some_college,urban,private,False,False,False
U00338,62,white,middle,bachelors,suburban,medicaid,True,False,False
U00339,54,white,upper_middle,some_college,urban,medicare,True,True,True
U00340,18,hispanic_latino,high,graduate,suburban,private,True,True,False
U00341,49,multiracial,lower_middle,high_school,rural,medicaid,True,True,True
U00342,46,white,lower_middle,high_school,suburban,medicaid,False,False,False
U00343,51,hispanic_latino,upper_middle,graduate,suburban,private,False,False,False
U00344,69,white,middle,high_school,suburban,private,False,False,False
U00345,18,black,lower_middle,high_school,suburban,medicaid,False,False,False
U00346,36,hispanic_latino,upper_middle,bachelors,suburban,military_va,True,False,False
U00347,53,white,middle,some_college,suburban,medicare,False,False,False
U00348,21,white,middle,high_school,suburban,medicare,True,False,False
U00349,67,black,lower_middle,some_college,urban,medicaid,True,True,False
U00350,50,other,middle,bachelors,suburban,private,True,False,False
U00351,57,white,lower_middle,bachelors,suburban,private,True,True,True
U00352,36,white,upper_middle,some_college,suburban,private,True,True,True
U00353,57,white,low,high_school,rural,uninsured,True,False,False
U00354,61,white,upper_middle,graduate,suburban,medicare,True,True,True
U00355,48,black,upper_middle,some_college,suburban,uninsured,False,False,False
U00356,48,hispanic_latino,upper_middle,some_college,urban,private,False,False,False
U00357,49,hispanic_latino,low,less_than_hs,suburban,medicaid,False,False,False
U00358,32,hispanic_latino,lower_middle,some_college,rural,medicaid,False,False,False
U00359,42,hispanic_latino,middle,high_school,rural,private,False,False,False
U00360,42,white,upper_middle,bachelors,suburban,private,False,False,False
U00361,50,white,high,graduate,urban,private,True,False,False
U00362,59,white,middle,high_school,suburban,medicare,True,True,False
U00363,29,white,high,graduate,rural,private,True,False,False
U00364,43,asian,lower_middle,high_school,suburban,private,False,False,False
U00365,67,black,lower_middle,less_than_hs,suburban,medicaid,False,False,False
U00366,33,multiracial,low,some_college,suburban,private,False,False,False
U00367,32,white,upper_middle,bachelors,suburban,private,False,False,False
U00368,48,white,lower_middle,graduate,urban,medicaid,False,False,False
U00369,57,white,lower_middle,some_college,urban,private,False,False,False
U00370,45,white,upper_middle,some_college,suburban,military_va,False,False,False
U00371,64,white,middle,some_college,rural,private,False,False,False
U00372,57,white,low,less_than_hs,rural,private,True,True,True
U00373,57,white,low,bachelors,suburban,private,False,False,False
U00374,53,asian,middle,bachelors,urban,medicaid,True,True,False
U00375,79,white,lower_middle,high_school,urban,private,False,False,False
U00376,41,white,lower_middle,some_college,rural,private,True,True,False
U00377,18,hispanic_latino,middle,bachelors,suburban,private,True,False,False
U00378,69,white,lower_middle,bachelors,rural,private,True,True,False
U00379,38,asian,middle,high_school,suburban,medicare,True,False,False
U00380,46,hispanic_latino,middle,less_than_hs,suburban,private,True,True,False
U00381,64,white,lower_middle,less_than_hs,suburban,private,False,False,False
U00382,20,black,low,high_school,urban,uninsured,False,False,False
U00383,26,black,lower_middle,some_college,rural,medicare,False,False,False
U00384,20,hispanic_latino,low,less_than_hs,suburban,medicaid,False,False,False
U00385,33,hispanic_latino,lower_middle,high_school,urban,private,True,True,True
U00386,51,hispanic_latino,high,bachelors,urban,private,False,False,False
U00387,52,black,upper_middle,high_school,rural,private,True,True,True
U00388,49,white,middle,graduate,suburban,private,False,False,False
U00389,23,black,middle,bachelors,suburban,private,False,False,False
U00390,18,asian,middle,some_college,suburban,military_va,True,False,False
U00391,45,black,upper_middle,bachelors,suburban,private,True,True,True
U00392,37,black,lower_middle,high_school,suburban,uninsured,True,True,False
U00393,51,white,lower_middle,bachelors,rural,uninsured,False,False,False
U00394,55,hispanic_latino,lower_middle,some_college,urban,medicare,False,False,False
U00395,47,other,low,high_school,suburban,medicaid,False,False,False
U00396,56,white,lower_middle,bachelors,urban,medicare,False,False,False
U00397,48,white,high,graduate,suburban,military_va,True,True,True
U00398,52,white,high,graduate,suburban,private,True,True,False
U00399,34,white,low,less_than_hs,rural,medicaid,False,False,False
U00400,42,white,middle,high_school,urban,private,True,True,False
U00401,47,white,middle,bachelors,suburban,uninsured,False,False,False
U00402,57,white,middle,some_college,suburban,private,False,False,False
U00403,39,black,middle,bachelors,urban,private,False,False,False
U00404,52,black,low,some_college,suburban,medicaid,False,False,False
U00405,41,black,upper_middle,some_college,rural,private,True,True,False
U00406,43,hispanic_latino,high,bachelors,urban,medicare,False,False,False
U00407,57,black,upper_middle,bachelors,urban,medicare,False,False,False
U00408,18,hispanic_latino,middle,some_college,rural,private,False,False,False
U00409,25,black,middle,bachelors,urban,private,False,False,False
U00410,22,white,lower_middle,bachelors,urban,uninsured,False,False,False
U00411,18,black,low,high_school,rural,medicaid,False,False,False
U00412,34,white,middle,bachelors,rural,private,True,True,False
U00413,56,white,low,high_school,suburban,medicaid,False,False,False
U00414,40,white,upper_middle,bachelors,suburban,private,True,False,False
U00415,47,hispanic_latino,middle,high_school,rural,military_va,False,False,False
U00416,61,black,middle,bachelors,suburban,medicare,True,True,True
U00417,64,white,lower_middle,some_college,suburban,private,True,False,False
U00418,43,black,high,bachelors,rural,private,True,True,True
U00419,65,white,lower_middle,some_college,suburban,private,False,False,False
U00420,46,hispanic_latino,lower_middle,bachelors,suburban,uninsured,False,False,False
U00421,32,hispanic_latino,lower_middle,high_school,suburban,medicare,True,False,False
U00422,36,black,upper_middle,bachelors,suburban,private,True,False,False
U00423,22,black,high,graduate,suburban,private,True,True,False
U00424,31,white,lower_middle,bachelors,suburban,private,True,True,True
U00425,39,white,high,bachelors,suburban,private,True,True,False
U00426,57,hispanic_latino,lower_middle,some_college,suburban,medicaid,True,False,False
U00427,70,hispanic_latino,middle,graduate,suburban,medicaid,True,True,False
U00428,24,white,low,high_school,urban,uninsured,True,False,False
U00429,50,white,middle,high_school,urban,private,False,False,False
U00430,29,white,upper_middle,high_school,urban,private,True,True,True
U00431,52,white,middle,bachelors,suburban,private,False,False,False
U00432,43,white,lower_middle,some_college,suburban,medicare,False,False,False
U00433,18,white,upper_middle,some_college,urban,private,False,False,False
U00434,58,asian,high,bachelors,suburban,medicare,True,True,False
U00435,35,white,middle,bachelors,urban,military_va,False,False,False
U00436,36,white,upper_middle,bachelors,urban,private,True,False,False
U00437,28,white,upper_middle,graduate,suburban,medicare,True,False,False
U00438,35,white,lower_middle,some_college,suburban,medicaid,False,False,False
U00439,51,hispanic_latino,high,graduate,suburban,private,True,False,False
U00440,42,white,lower_middle,bachelors,rural,medicaid,False,False,False
U00441,49,hispanic_latino,upper_middle,some_college,rural,private,True,False,False
U00442,50,hispanic_latino,low,some_college,urban,private,False,False,False
U00443,64,white,lower_middle,less_than_hs,suburban,military_va,False,False,False
U00444,39,black,middle,graduate,suburban,medicare,True,False,False
U00445,22,asian,middle,some_college,urban,private,True,False,False
U00446,61,white,upper_middle,bachelors,rural,private,True,False,False
U00447,40,white,high,graduate,suburban,uninsured,True,False,False
U00448,61,asian,low,less_than_hs,rural,medicaid,False,False,False
U00449,50,hispanic_latino,lower_middle,bachelors,suburban,uninsured,False,False,False
U00450,43,white,middle,less_than_hs,suburban,uninsured,False,False,False
U00451,50,white,middle,some_college,urban,private,True,False,False
U00452,74,white,middle,some_college,rural,medicare,False,False,False
